datetime,action,price,fee,btc,cash_after
2020-01-21,BUY,8642.35,100.0,11.559355962209352,0.0
2020-02-21,SELL,9597.21,110.93756663407521,0.0,110826.62906744113
2020-03-27,BUY,6737.27,110.82662906744113,16.433333151020175,0.0
2020-05-25,SELL,8718.14,143.26809907723504,0.0,143124.8309781578
2020-05-31,BUY,9697.72,143.1248309781578,14.743847641216663,0.0
2020-06-15,SELL,9342.1,137.7384990490102,0.0,137600.76054996118
2020-07-10,BUY,9232.42,137.6007605499612,14.889179628895915,0.0
2020-07-18,SELL,9154.31,136.30016596859815,0.0,136163.86580262956
2020-07-23,BUY,9518.16,136.16386580262957,14.291386353751873,0.0
2020-08-24,SELL,11648.12,166.46778321486428,0.0,166301.31543164942
2020-09-18,BUY,10940.0,166.3013154316494,15.18601591555921,0.0
2020-09-26,SELL,10686.57,162.2864221027376,0.0,162124.13568063485
2020-09-28,BUY,10774.26,162.12413568063485,15.032309554897896,0.0
2020-10-03,SELL,10570.4,158.89752491909272,0.0,158738.6273941736
2020-10-09,BUY,10925.44,158.73862739417362,14.514737051027643,0.0
2020-12-12,SELL,18036.53,261.7954902629716,0.0,261533.6947727086
2020-12-15,BUY,19273.69,261.5336947727086,13.555897240120387,0.0
2021-01-22,SELL,30851.99,418.2264060932218,0.0,417808.1796871286
2021-02-04,BUY,37620.26,417.8081796871286,11.094829528223395,0.0
2021-02-28,SELL,46103.67,511.5123592754671,0.0,511000.8469161916
2021-03-10,BUY,54874.67,511.00084691619156,9.302832182303336,0.0
2021-03-25,SELL,52303.66,486.57217150025167,0.0,486085.59932875144
2021-04-01,BUY,58739.46,486.08559932875147,8.267006774141654,0.0
2021-04-21,SELL,56425.0,466.46585723094285,0.0,465999.3913737119
2021-05-04,BUY,57169.39,465.9993913737119,8.143053336450471,0.0
2021-05-14,SELL,49671.92,404.4810938839008,0.0,404076.6127900169
2021-06-14,BUY,39020.56,404.07661279001695,10.345124113473178,0.0
2021-06-21,SELL,35600.17,368.2881771107444,0.0,367919.8889336337
2021-07-08,BUY,33862.11,367.9198889336337,10.85437289775209,0.0
2021-07-10,SELL,33815.81,367.0494115795341,0.0,366682.3621679545
2021-07-26,BUY,35381.02,366.6823621679545,10.353451647402663,0.0
2021-09-11,SELL,44842.2,464.27154946315966,0.0,463807.2779136965
2021-10-04,BUY,48200.01,463.8072779136965,9.612933081046721,0.0
2021-10-31,SELL,61859.19,594.6482539177546,0.0,594053.6056638367
2021-11-02,BUY,60911.12,594.0536056638367,9.743041205910725,0.0
2021-11-18,SELL,60344.86,587.9424575449139,0.0,587354.5150873689
2021-12-25,BUY,50819.99,587.3545150873689,11.545991263915667,0.0
2022-01-01,SELL,46216.93,533.620270025002,0.0,533086.649754977
2022-02-06,BUY,41382.6,533.086649754977,12.869021354511847,0.0
2022-02-21,SELL,38386.89,494.0017071432973,0.0,493507.705436154
2022-03-03,BUY,43892.99,493.50770543615397,11.232185315484724,0.0
2022-03-08,SELL,37988.01,426.6883680864869,0.0,426261.6797184004
2022-03-19,BUY,41757.51,426.26167971840044,10.197816345818561,0.0
2022-04-09,SELL,42252.02,430.87834019985274,0.0,430447.46185965283
2022-06-01,BUY,31801.05,430.44746185965283,13.522101138100572,0.0
2022-06-12,SELL,28424.71,384.3618034411787,0.0,383977.4416377375
2022-07-08,BUY,21624.99,383.9774416377375,17.738434292737235,0.0
2022-07-14,SELL,20234.87,358.9349119170799,0.0,358575.9770051628
2022-07-17,BUY,21195.6,358.5759770051628,16.900554880643043,0.0
2022-08-20,SELL,20834.39,352.1127515997206,0.0,351760.63884812087
2022-09-12,BUY,21826.87,351.7606388481209,16.09982916511954,0.0
2022-09-18,SELL,20112.61,323.809585064675,0.0,323485.7754796103
2022-10-04,BUY,19629.08,323.4857754796103,16.46344554630837,0.0
2022-10-12,SELL,19060.0,313.7932721126375,0.0,313479.4788405249
2022-10-26,BUY,20079.02,313.4794788405249,15.596677495300288,0.0
2022-11-10,SELL,15922.68,248.340904820868,0.0,248092.56391604713
2022-12-02,BUY,16978.0,248.09256391604714,14.597978051132706,0.0
2022-12-19,SELL,16739.0,244.35555459791038,0.0,244111.19904331246
2023-01-06,BUY,16831.85,244.11119904331247,14.488430436599018,0.0
2023-02-09,SELL,22961.85,332.68116642062114,0.0,332348.4852542005
2023-02-18,BUY,24568.24,332.3484852542005,13.514038318127236,0.0
2023-03-01,SELL,23141.57,312.7360637216237,0.0,312423.32765790203
2023-03-16,BUY,24285.66,312.42332765790206,12.85165419964885,0.0
2023-04-22,SELL,27262.84,350.3725921803547,0.0,350022.2195881743
2023-05-01,BUY,29233.2,350.0222195881743,11.961475218880798,0.0
2023-05-03,SELL,28669.85,342.9337003040296,0.0,342590.7666037256
2023-05-06,BUY,29505.6,342.5907666037256,11.599431153310624,0.0
2023-05-10,SELL,27628.28,320.47233174438884,0.0,320151.85941264447
2023-05-30,BUY,27736.39,320.15185941264446,11.531122383022153,0.0
2023-06-06,SELL,25728.2,296.67502289487055,0.0,296378.3478719757
2023-06-21,BUY,28308.0,296.3783478719757,10.459303713582862,0.0
2023-07-10,SELL,30160.71,315.4600261072958,0.0,315144.56608118844
2023-07-14,BUY,31454.23,315.14456608118843,10.009128232199844,0.0
2023-07-19,SELL,29859.14,298.86396116320765,0.0,298565.09720204445
2023-08-11,BUY,29455.76,298.56509720204446,10.125915342358928,0.0
2023-08-17,SELL,28730.51,290.9227120027966,0.0,290631.78929079376
2023-09-17,BUY,26559.67,290.6317892907938,10.931655306767855,0.0
2023-09-28,SELL,26373.0,288.3005454053886,0.0,288012.2448599833
2023-09-29,BUY,27021.39,288.0122448599833,10.648017463761978,0.0
2023-10-14,SELL,26862.0,286.02704511157424,0.0,285741.01806646265
2023-10-18,BUY,28395.91,285.7410180664627,10.052689878521104,0.0
2023-12-31,SELL,42140.29,423.6232667609441,0.0,423199.64349418314
2024-01-03,BUY,44946.91,423.19964349418314,9.406129227808739,0.0
2024-01-16,SELL,42511.1,399.86490021630004,0.0,399465.03531608375
2024-01-31,BUY,42941.1,399.46503531608374,9.293324350814666,0.0
2024-03-20,SELL,61937.41,575.604440579392,0.0,575028.8361388125
2024-03-29,BUY,70780.6,575.0288361388125,8.115978210168798,0.0
2024-04-06,SELL,67820.63,550.4307552799203,0.0,549880.3245246403
2024-04-08,BUY,69360.38,549.8803245246404,7.919945712525158,0.0
2024-04-14,SELL,63924.52,506.2787280992287,0.0,505772.44937112945
2024-05-16,BUY,66206.51,505.7724493711295,7.631676657201209,0.0
2024-06-04,SELL,68809.89,525.1348312975829,0.0,524609.6964662853
2024-06-05,BUY,70537.83,524.6096964662853,7.429844195232813,0.0
2024-06-13,SELL,68263.98,507.19073554648884,0.0,506683.5448109424
2024-07-16,BUY,64724.06,506.6835448109424,7.820536308540155,0.0
2024-08-03,SELL,61498.34,480.9500008849473,0.0,480469.05088406237
2024-08-22,BUY,61156.03,480.46905088406237,7.848589613046797,0.0
2024-08-31,SELL,59123.99,464.0399337958827,0.0,463575.8938620868
2024-09-15,BUY,59993.02,463.57589386208684,7.719436660601929,0.0
2024-10-04,SELL,60752.72,468.97677399928403,0.0,468507.79722528474
2024-10-15,BUY,66084.0,468.5077972252848,7.082490306701463,0.0
2024-12-23,SELL,95186.28,674.1559054309713,0.0,673481.7495255403
2025-01-06,BUY,98363.61,673.4817495255403,6.840011949297253,0.0
2025-01-12,SELL,94599.99,647.0650620034006,0.0,646417.9969413972
2025-01-16,BUY,100497.35,646.4179969413972,6.4257572855847025,0.0
2025-02-03,SELL,97700.59,627.8002779984239,0.0,627172.4777204255
2025-02-24,BUY,96258.0,627.1724777204255,6.5090206034065226,0.0
2025-02-25,SELL,91552.88,595.919582221205,0.0,595323.6626389838
2025-03-24,BUY,86082.5,595.3236626389838,6.908818156725755,0.0
2025-04-01,SELL,82550.0,570.3229388377111,0.0,569752.6158988734
2025-04-15,BUY,84591.58,569.7526158988734,6.728599504619426,0.0
2025-06-01,SELL,104591.88,703.7568719552146,0.0,703053.1150832593
2025-06-11,BUY,110274.39,703.0531150832593,6.369113100223688,0.0
2025-06-17,SELL,106794.53,680.1864400552316,0.0,679506.2536151763
2025-06-28,BUY,107047.58,679.5062536151763,6.341355380117525,0.0
2025-07-30,SELL,117950.75,747.9676231013972,0.0,747219.6554782958
2025-08-11,BUY,119294.27,747.2196554782957,6.2574039459130555,0.0
2025-08-20,SELL,112872.95,706.291642716847,0.0,705585.3510741302
2025-09-11,BUY,113960.0,705.5853510741301,6.185326129545946,0.0
2025-09-25,SELL,113307.01,700.8408096137238,0.0,700139.9688041101
2025-10-03,BUY,120529.35,700.1399688041101,5.803066463357729,0.0
2025-10-14,SELL,115166.0,668.3159523190562,0.0,667647.6363667372
2025-10-28,BUY,114107.65,667.6476363667372,5.845182060364668,0.0
2025-11-02,SELL,110098.1,643.5434390002353,0.0,642899.895561235
2025-12-04,BUY,93429.95,642.899895561235,6.874208919791499,0.0
2025-12-16,SELL,86432.08,594.1521752921325,0.0,593558.0231168403
2026-01-02,BUY,88839.05,593.5580231168403,6.6745925929388426,0.0
2026-01-22,SELL,89454.73,597.073878261344,0.0,596476.8043830827
